Item,Description,Quantity,Unit Price ($),Total Price ($),Running Total ($ with Tax),URL,Status (Purchased or not)
Casio FX-991ESPLUS2,"Standard calculator, to be used as a shell to make it look like an original.",1,$25.97,$25.97,$25.97x1.13=$29.35,https://www.amazon.ca/gp/product/B086548F31?smid=A3DWYIK6Y9EEQB&th=1&tag=operapc-def-sp-co2-ca-20,Yes-I'M COVERING THE COST
2.4 Inch Touch Screen,A 2.4 inch touchscreen display to replace the original calculator screen.,1,$2.81,$2.81,$2.81,https://www.aliexpress.com/item/1005005770033042.html?spm=a2g0o.order_detail.order_detail_item.3.20baf19cBBwxp8,Yes-I'M COVERING THE COST
PCB Board,Custom PCB that has pads that can be wired to the Pi instead of just hooking up to the OG calculator screen.,1,$2.78,$2.78,2.78+2.08+0.69=$5.55,Custom PCB no URL,No
Raspberry Pi Zero 2 W,"The main computer which is just powerful enough to run Linux and I can program it how I want, to act as a normal calculator and enter the secret menu. It has included wifi to constantly pull updates.",1,$32.99,$32.99,$32.99 x 1.13 = $37.28,https://www.amazon.ca/gp/product/B09LH5SBPS?smid=A7SPEHY58ZFQP&psc=1,No
Raspberry Pi Pico 2,"Input controller for the various row and column pads from the PCB, since I'd run out of pins on the Pi Zero 2 W.",1,$12.24,$12.24,$12.24 x 1.13 = $13.83,"https://www.aliexpress.com/item/1005008058623788.html?spm=a2g0o.productlist.main.1.47fc5b7305yAxI&algo_pvid=e352c1ba-fdee-40bf-9e66-5986a53ee649&algo_exp_id=e352c1ba-fdee-40bf-9e66-5986a53ee649-0&pdp_ext_f=%7B""order""%3A""1868""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21CAD%2110.86%2110.78%21%21%2152.57%2152.18%21%402103129017750139339438014e8990%2112000043493583247%21sea%21CA%217345587303%21X%211%210%21n_tag%3A-29911%3Bd%3A32857316%3Bm03_new_user%3A-29895&curPageLogUid=H1apDdqyqaUv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008058623788%7C_p_origin_prod%3A",No
32GB MicroSD Card,Storage for Pi Zero 2W.,1,$7.19,$7.19,$7.19 x 1.13 = $8.12,"https://www.aliexpress.com/item/1005003194700801.html?spm=a2g0o.productlist.main.1.141613bbOSLQV9&algo_pvid=242bcb13-ec6f-4284-b717-dbc12a3adeb4&algo_exp_id=242bcb13-ec6f-4284-b717-dbc12a3adeb4-0&pdp_ext_f=%7B""order""%3A""4789""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21CAD%216.02%216.02%21%21%214.23%214.23%21%40210328c017750141131382936e1815%2112000024603441447%21sea%21CA%217345587303%21X%211%210%21n_tag%3A-29911%3Bd%3A32857316%3Bm03_new_user%3A-29895&curPageLogUid=LDJwuRYe7xny&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003194700801%7C_p_origin_prod%3A",No
Camera Module,Small camera for Pi.,1,$8.49,$8.49,$8.49 x 1.13 = $9.59,"https://www.aliexpress.com/item/32782501654.html?spm=a2g0o.productlist.main.25.41d830050KRsxS&algo_pvid=82c6ae65-4634-459f-aaeb-633c2ac040c9&algo_exp_id=82c6ae65-4634-459f-aaeb-633c2ac040c9-24&pdp_ext_f=%7B""order""%3A""1260""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21CAD%218.19%218.19%21%21%2139.64%2139.64%21%402101d9ef17750141550255414ec1fb%2112000031524996157%21sea%21CA%217345587303%21X%211%210%21n_tag%3A-29911%3Bd%3A32857316%3Bm03_new_user%3A-29895&curPageLogUid=r5m8JU2qXmXv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32782501654%7C_p_origin_prod%3A",No
Lithium Polymer Battery,Battery to power the entire calculator.,1,$5.79,$5.79,$5.79 x 1.13 = $6.54,https://www.aliexpress.com/item/32615585474.html?spm=a2g0o.productlist.0.0.41d830050KRsxS&mp=1&pdp_npi=6%40dis%21CAD%21CAD%2011.07%21CAD%206.09%21%21CAD%206.09%21%21%21%40210311cc17750141565093742e8b49%2110000000081556811%21ct%21CA%217345587303%21%211%210%21,No
30 AWG PTFE Plastic Ultra Fine Wire,Super thin wire to solder with.,1,$2.44,$2.44,$2.44 x 1.13 = $2.76,https://www.aliexpress.com/item/1005005454857771.html?spm=a2g0o.cart.0.0.50be38da7U5QPx&mp=1&pdp_npi=6%40dis%21CAD%21CAD%202.61%21CAD%202.61%21%21CAD%202.61%21%21%21%402101d97817750122873813711ed725%2112000041485570880%21ct%21CA%217345587303%21%211%210%21,No
M.2 Screw Kit,An assortment of screws to use on the back of the calculator.,1,$5.89,$5.89,$5.89 x 1.13 = $6.66,"https://www.aliexpress.com/item/1005007399285653.html?spm=a2g0o.productlist.main.7.39a0550aneMK7W&algo_pvid=ec3f8123-a0db-4796-8942-603f5ddd2e77&algo_exp_id=ec3f8123-a0db-4796-8942-603f5ddd2e77-5&pdp_ext_f=%7B""order""%3A""2205""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21CAD%215.81%215.40%21%21%214.08%213.79%21%402101d6fe17750143509683372ea280%2112000040585391783%21sea%21CA%217345587303%21X%211%210%21n_tag%3A-29911%3Bd%3A32857316%3Bm03_new_user%3A-29895&curPageLogUid=8C0BroRNViuz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007399285653%7C_p_origin_prod%3A",No
Kapton Tape (10mm Width),Insulating tape that can't melt to prevent short circuiting.,1,$4.76,$4.76,$4.76 x 1.13 = $5.38,https://www.aliexpress.com/item/1005004225392537.html?spm=a2g0o.detail.0.0.57e1DE5tDE5tPg&mp=1&pdp_npi=6%40dis%21CAD%21CAD%205.33%21CAD%204.76%21%21CAD%204.76%21%21%21%402103123917752829824446269ee7d0%2112000028442042739%21ct%21CA%217345587303%21%211%210%21,No
Type-C USB 5V 2A Boost Converter,To charge the battery and safely connect it to the Pi.,1,$3.89,$3.89,$3.89 x 1.13 = $4.40,https://www.aliexpress.com/item/1005011961215291.html?spm=a2g0o.cart.0.0.55d138dafzz2ZE&mp=1&pdp_npi=6%40dis%21CAD%21CAD%2012.16%21CAD%203.89%21%21CAD%203.85%21%21%21%402103123917752829755716142ee7d0%2112000057149724455%21ct%21CA%217345587303%21%211%210%21,No
Interruptor on-off mini Slide Switch 3pin,Main power switch to turn it on and off.,1,$3.51,$3.51,$3.51 x 1.13 = $3.97,"https://www.aliexpress.com/item/1005007162182882.html?spm=a2g0o.detail.0.0.1e84NOWYNOWYxU&mp=1&pdp_npi=6%40dis%21CAD%21CAD%203.37%21CAD%203.37%21%21CAD%203.30%21%21%21%40210318a717750150292744855ec748%2112000039660071095%21ct%21CA%217345587303%21%211%210%21&pdp_ext_f=%7B""cart2PdpParams""%3A%7B""pdpBusinessMode""%3A""retail""%7D%7D",No
,,,,,,,
,,,,Total Cost,$104.08+$25.70(AliExpressShipping),,
,,,,FINAL COST IN CAD,$129.78,,
,,,,Final Cost USD,$93.05,,
